section,key,servicio,diametro,profundidad,superficie,item,valor
parametros,IVA,,,,,,0.19
parametros,ADM,,,,,,0.1
parametros,UTILIDAD,,,,,,0.05
listas,SERVICIO,,,,,,ACUEDUCTO
listas,SERVICIO,,,,,,ALCANTARILLADO
listas,DIAMETRO,,,,,,"6"""
listas,DIAMETRO,,,,,,"8"""
listas,PROFUNDIDAD,,,,,,0 a 1 m
listas,PROFUNDIDAD,,,,,,1 a 2 m
listas,PROFUNDIDAD,,,,,,2 a 3 m
listas,TIPO_SUPERFICIE,,,,,,CON_PAVIMENTO
listas,TIPO_SUPERFICIE,,,,,,SIN_PAVIMENTO
listas,CAJA_INSPECCION,,,,,,SI_REQUIERE
listas,CAJA_INSPECCION,,,,,,NO_REQUIERE
listas,SILLA_PVC,,,,,,SI_REQUIERE
listas,SILLA_PVC,,,,,,NO_REQUIERE
listas,BOQUILLA_MORTERO,,,,,,SI_LO_REQUIERE
listas,BOQUILLA_MORTERO,,,,,,NO_LO_REQUIERE
precios_base,,ALCANTARILLADO,"6""",0 a 1 m,CON_PAVIMENTO,BASE_ML,305367.0
precios_base,,ALCANTARILLADO,"6""",0 a 1 m,SIN_PAVIMENTO,BASE_ML,141117.0
accesorios,CAJA_INSPECCION,ALCANTARILLADO,"6""",,,UND,318422.0
accesorios,SILLA_PVC,ALCANTARILLADO,"6""",,,UND,374930.0
accesorios,BOQUILLA_MORTERO,ALCANTARILLADO,"6""",,,UND,39931.0
precios_base,,ALCANTARILLADO,"6""",1 a 2 m,CON_PAVIMENTO,BASE_ML,311883.0
precios_base,,ALCANTARILLADO,"6""",1 a 2 m,SIN_PAVIMENTO,BASE_ML,151528.0
accesorios,CAJA_INSPECCION,ALCANTARILLADO,"6""",,,UND,318422.0
accesorios,SILLA_PVC,ALCANTARILLADO,"6""",,,UND,374930.0
accesorios,BOQUILLA_MORTERO,ALCANTARILLADO,"6""",,,UND,39931.0
precios_base,,ALCANTARILLADO,"6""",2 a 3 m,CON_PAVIMENTO,BASE_ML,318366.0
precios_base,,ALCANTARILLADO,"6""",2 a 3 m,SIN_PAVIMENTO,BASE_ML,161938.0
accesorios,CAJA_INSPECCION,ALCANTARILLADO,"6""",,,UND,318422.0
accesorios,SILLA_PVC,ALCANTARILLADO,"6""",,,UND,374930.0
accesorios,BOQUILLA_MORTERO,ALCANTARILLADO,"6""",,,UND,39931.0
precios_base,,ALCANTARILLADO,"8""",0 a 1 m,CON_PAVIMENTO,BASE_ML,332707.0
precios_base,,ALCANTARILLADO,"8""",0 a 1 m,SIN_PAVIMENTO,BASE_ML,154343.0
accesorios,CAJA_INSPECCION,ALCANTARILLADO,"8""",,,UND,318422.0
accesorios,SILLA_PVC,ALCANTARILLADO,"8""",,,UND,417883.0
accesorios,BOQUILLA_MORTERO,ALCANTARILLADO,"8""",,,UND,39931.0
precios_base,,ALCANTARILLADO,"8""",1 a 2 m,CON_PAVIMENTO,BASE_ML,339780.0
precios_base,,ALCANTARILLADO,"8""",1 a 2 m,SIN_PAVIMENTO,BASE_ML,165700.0
accesorios,CAJA_INSPECCION,ALCANTARILLADO,"8""",,,UND,318422.0
accesorios,SILLA_PVC,ALCANTARILLADO,"8""",,,UND,417883.0
accesorios,BOQUILLA_MORTERO,ALCANTARILLADO,"8""",,,UND,39931.0
precios_base,,ALCANTARILLADO,"8""",2 a 3 m,CON_PAVIMENTO,BASE_ML,362669.0
precios_base,,ALCANTARILLADO,"8""",2 a 3 m,SIN_PAVIMENTO,BASE_ML,177057.0
accesorios,CAJA_INSPECCION,ALCANTARILLADO,"8""",,,UND,318422.0
accesorios,SILLA_PVC,ALCANTARILLADO,"8""",,,UND,417883.0
accesorios,BOQUILLA_MORTERO,ALCANTARILLADO,"8""",,,UND,39931.0
precios_base,,ACUEDUCTO,"6""",0 a 1 m,CON_PAVIMENTO,BASE_ML,305367.0
precios_base,,ACUEDUCTO,"6""",0 a 1 m,SIN_PAVIMENTO,BASE_ML,141117.0
accesorios,CAJA_INSPECCION,ACUEDUCTO,"6""",,,UND,318422.0
accesorios,SILLA_PVC,ACUEDUCTO,"6""",,,UND,374930.0
accesorios,BOQUILLA_MORTERO,ACUEDUCTO,"6""",,,UND,39931.0
precios_base,,ACUEDUCTO,"6""",1 a 2 m,CON_PAVIMENTO,BASE_ML,311883.0
precios_base,,ACUEDUCTO,"6""",1 a 2 m,SIN_PAVIMENTO,BASE_ML,151528.0
accesorios,CAJA_INSPECCION,ACUEDUCTO,"6""",,,UND,318422.0
accesorios,SILLA_PVC,ACUEDUCTO,"6""",,,UND,374930.0
accesorios,BOQUILLA_MORTERO,ACUEDUCTO,"6""",,,UND,39931.0
precios_base,,ACUEDUCTO,"6""",2 a 3 m,CON_PAVIMENTO,BASE_ML,318366.0
precios_base,,ACUEDUCTO,"6""",2 a 3 m,SIN_PAVIMENTO,BASE_ML,161938.0
accesorios,CAJA_INSPECCION,ACUEDUCTO,"6""",,,UND,318422.0
accesorios,SILLA_PVC,ACUEDUCTO,"6""",,,UND,374930.0
accesorios,BOQUILLA_MORTERO,ACUEDUCTO,"6""",,,UND,39931.0
precios_base,,ACUEDUCTO,"8""",0 a 1 m,CON_PAVIMENTO,BASE_ML,332707.0
precios_base,,ACUEDUCTO,"8""",0 a 1 m,SIN_PAVIMENTO,BASE_ML,154343.0
accesorios,CAJA_INSPECCION,ACUEDUCTO,"8""",,,UND,318422.0
accesorios,SILLA_PVC,ACUEDUCTO,"8""",,,UND,417883.0
accesorios,BOQUILLA_MORTERO,ACUEDUCTO,"8""",,,UND,39931.0
precios_base,,ACUEDUCTO,"8""",1 a 2 m,CON_PAVIMENTO,BASE_ML,339780.0
precios_base,,ACUEDUCTO,"8""",1 a 2 m,SIN_PAVIMENTO,BASE_ML,165700.0
accesorios,CAJA_INSPECCION,ACUEDUCTO,"8""",,,UND,318422.0
accesorios,SILLA_PVC,ACUEDUCTO,"8""",,,UND,417883.0
accesorios,BOQUILLA_MORTERO,ACUEDUCTO,"8""",,,UND,39931.0
precios_base,,ACUEDUCTO,"8""",2 a 3 m,CON_PAVIMENTO,BASE_ML,362669.0
precios_base,,ACUEDUCTO,"8""",2 a 3 m,SIN_PAVIMENTO,BASE_ML,177057.0
accesorios,CAJA_INSPECCION,ACUEDUCTO,"8""",,,UND,318422.0
accesorios,SILLA_PVC,ACUEDUCTO,"8""",,,UND,417883.0
accesorios,BOQUILLA_MORTERO,ACUEDUCTO,"8""",,,UND,39931.0
documento,NUIR_DEFAULT,,,,,,1-661700002
documento,NIT,,,,,,816.001.609-1
documento,EMPRESA,,,,,,SERVICIUDAD ESP
documento,CONSECUTIVO_PREFIJO,,,,,,PR
documento,CONSECUTIVO_DIGITOS,,,,,,6
firmas,FIRMA1_NOMBRE,,,,,,CARLOS ERNESTO AGUDELO QUINTERO
firmas,FIRMA1_CARGO,,,,,,Profesional Especializado de Alcantarillado
firmas,FIRMA2_NOMBRE,,,,,,JORGE HERNAN CASTRO GÓMEZ
firmas,FIRMA2_CARGO,,,,,,Profesional Universitario de Alcantarillado
